id,has_index,dataset,dataset_size,operation,relational_point_count,relational_has_errors,relational_time_elapsed,relational_avg_time_per_point,spatial_core_point_count,spatial_core_has_errors,spatial_core_time_elapsed,spatial_core_avg_time_per_point,spatial_postgis_point_count,spatial_postgis_has_errors,spatial_postgis_time_elapsed,spatial_postgis_avg_time_per_point,rsc_ratio,rsp_ratio,spsc_ration,best,created_at
1,t,uniform_s,145,Insert Multiple,145,f,38.755,0.267275862068965,145,f,15.901,0.109662068965517,145,f,27.141,0.187179310344828,2.43726809634614,1.42791348881766,1.70687378152317,Spatial Core,2019-06-02 01:29:47.689639+02
2,t,uniform_s,145,Insert Single,1,f,23.499,23.499,1,f,3.147,3.147,1,f,27.951,27.951,7.46711153479504,0.840721262208865,8.88179218303146,Spatial Core,2019-06-02 01:29:54.828022+02
3,t,uniform_s,145,Find Single,1,f,3.692,3.692,1,f,3.186,3.186,1,f,24.388,24.388,1.15881983678594,0.15138592750533,7.65473948524796,Spatial Core,2019-06-02 01:30:00.395926+02
4,t,uniform_s,145,Find Multiple - Rectangle,1,f,1.244,1.244,1,f,0.869,0.869,1,f,10.972,10.972,1.43153049482163,0.113379511483777,12.6260069044879,Spatial Core,2019-06-02 01:30:22.975605+02
5,t,uniform_s,145,Find Multiple - Rotated Rectangle,1,f,2.274,2.274,1,f,2.343,2.343,1,f,11.037,11.037,0.970550576184379,0.206034248437075,4.71062740076825,Relational,2019-06-02 01:33:05.538367+02
6,t,uniform_s,145,Find Multiple - Circle,1,f,1.975,1.975,1,f,1.021,1.021,1,f,10.734,10.734,1.93437806072478,0.183994782932737,10.513222331048,Spatial Core,2019-06-02 01:33:50.952516+02
7,t,uniform_s,145,Update Single,1,f,2.357,2.357,1,f,1.657,1.657,1,f,11.479,11.479,1.42245021122511,0.205331474867149,6.92757996378998,Spatial Core,2019-06-02 01:34:08.974534+02
8,t,uniform_s,145,Update Multiple - Rectangle,1,f,21.989,21.989,1,f,1.761,1.761,1,f,11.452,11.452,12.4866553094832,1.92010129235068,6.50312322544009,Spatial Core,2019-06-02 01:34:23.665161+02
9,t,uniform_s,145,Update Multiple - Rotated Rectangle,1,f,3.049,3.049,1,f,3.157,3.157,1,f,11.73,11.73,0.965790307253722,0.259931798806479,3.71555273994298,Relational,2019-06-02 01:34:50.723121+02
10,t,uniform_s,145,Update Multiple - Circle,1,f,4.229,4.229,1,f,1.829,1.829,1,f,11.734,11.734,2.31219245489338,0.360405658769388,6.41552761071624,Spatial Core,2019-06-02 01:35:09.957848+02
11,t,uniform_s,145,Delete Single,1,f,25.232,25.232,1,f,4.134,4.134,1,f,25.949,25.949,6.10353168843735,0.972368877413388,6.27697145621674,Spatial Core,2019-06-02 01:36:20.272552+02
12,t,uniform_s,145,Delete Multiple - Rectangle,1,f,22.029,22.029,1,f,1.49,1.49,1,f,11.139,11.139,14.7845637583893,1.97764610826825,7.4758389261745,Spatial Core,2019-06-02 01:37:21.946838+02
13,t,uniform_s,145,Delete Multiple - Rotated Rectangle,1,f,23.023,23.023,1,f,2.916,2.916,1,f,11.642,11.642,7.89540466392318,1.97758117162,3.99245541838134,Spatial Core,2019-06-02 01:37:37.867139+02
14,t,uniform_s,145,Delete Multiple - Circle,1,f,23.254,23.254,1,f,6.973,6.973,1,f,18.406,18.406,3.3348630431665,1.26339237205259,2.63960992399254,Spatial Core,2019-06-02 01:37:57.153031+02
