id,has_index,dataset,dataset_size,operation,relational_point_count,relational_has_errors,relational_time_elapsed,relational_avg_time_per_point,spatial_core_point_count,spatial_core_has_errors,spatial_core_time_elapsed,spatial_core_avg_time_per_point,spatial_postgis_point_count,spatial_postgis_has_errors,spatial_postgis_time_elapsed,spatial_postgis_avg_time_per_point,rsc_ratio,rsp_ratio,spsc_ration,best,created_at
84,f,routers_s,145,Delete Multiple - Circle,2,f,51.242,25.621,2,f,27.225,13.612,2,f,43.607,21.804,1.882,1.175,1.602,Spatial Core,2019-06-04 20:45:50.917528+02
225,t,routers_s,145,Delete Multiple - Circle,2,f,60.112,30.056,2,f,25.475,12.738,2,f,36.842,18.421,2.360,1.632,1.446,Spatial Core,2019-06-04 21:59:31.079116+02
82,f,routers_s,145,Delete Multiple - Rectangle,8,f,61.913,7.739,8,f,25.728,3.216,8,f,36.602,4.575,2.406,1.692,1.423,Spatial Core,2019-06-04 20:45:23.831619+02
223,t,routers_s,145,Delete Multiple - Rectangle,8,f,59.065,7.383,8,f,26.803,3.350,8,f,46.646,5.831,2.204,1.266,1.740,Spatial Core,2019-06-04 21:58:16.773027+02
83,f,routers_s,145,Delete Multiple - Rotated Rectangle,17,f,60.674,3.569,17,f,28.781,1.693,17,f,52.506,3.089,2.108,1.156,1.824,Spatial Core,2019-06-04 20:45:38.751503+02
224,t,routers_s,145,Delete Multiple - Rotated Rectangle,17,f,60.516,3.560,17,f,27.809,1.636,17,f,41.122,2.419,2.176,1.472,1.479,Spatial Core,2019-06-04 21:58:43.375651+02
81,f,routers_s,145,Delete Single,1,f,62.272,62.272,1,f,26.614,26.614,1,f,52.757,52.757,2.340,1.180,1.982,Spatial Core,2019-06-04 20:45:09.979862+02
222,t,routers_s,145,Delete Single,1,f,60.522,60.522,1,f,27.111,27.111,1,f,61.234,61.234,2.232,0.988,2.259,Spatial Core,2019-06-04 21:58:06.339172+02
76,f,routers_s,145,Find Multiple - Circle,3,f,2.513,0.838,3,f,0.651,0.217,3,f,13.448,4.483,3.860,0.187,20.657,Spatial Core,2019-06-04 20:43:14.300926+02
217,t,routers_s,145,Find Multiple - Circle,3,f,2.056,0.685,3,f,0.877,0.292,3,f,10.343,3.448,2.344,0.199,11.794,Spatial Core,2019-06-04 21:56:47.855317+02
74,f,routers_s,145,Find Multiple - Rectangle,16,f,1.081,0.068,16,f,0.695,0.043,16,f,10.080,0.630,1.555,0.107,14.504,Spatial Core,2019-06-04 20:42:22.027036+02
215,t,routers_s,145,Find Multiple - Rectangle,16,f,1.180,0.074,16,f,1.005,0.063,16,f,10.884,0.680,1.174,0.108,10.830,Spatial Core,2019-06-04 21:56:19.732545+02
75,f,routers_s,145,Find Multiple - Rotated Rectangle,23,f,4.753,0.207,23,f,2.092,0.091,23,f,12.164,0.529,2.272,0.391,5.815,Spatial Core,2019-06-04 20:43:01.998567+02
216,t,routers_s,145,Find Multiple - Rotated Rectangle,23,f,2.487,0.108,23,f,2.135,0.093,23,f,10.689,0.465,1.165,0.233,5.007,Spatial Core,2019-06-04 21:56:35.290877+02
73,f,routers_s,145,Find Single,1,f,3.340,3.340,1,f,2.516,2.516,1,f,30.631,30.631,1.328,0.109,12.174,Spatial Core,2019-06-04 20:41:47.504514+02
214,t,routers_s,145,Find Single,1,f,4.242,4.242,1,f,2.754,2.754,1,f,24.697,24.697,1.540,0.172,8.968,Spatial Core,2019-06-04 21:56:09.587187+02
71,f,routers_s,145,Insert Multiple,145,f,83.108,0.573,145,f,56.800,0.392,145,f,69.549,0.480,1.463,1.195,1.224,Spatial Core,2019-06-04 20:41:26.20226+02
212,t,routers_s,145,Insert Multiple,145,f,39.706,0.274,145,f,35.935,0.248,145,f,67.043,0.462,1.105,0.592,1.866,Spatial Core,2019-06-04 21:55:56.577104+02
72,f,routers_s,145,Insert Single,1,f,27.543,27.543,1,f,25.695,25.695,1,f,36.184,36.184,1.072,0.761,1.408,Spatial Core,2019-06-04 20:41:39.156901+02
213,t,routers_s,145,Insert Single,1,f,46.862,46.862,1,f,26.270,26.270,1,f,50.567,50.567,1.784,0.927,1.925,Spatial Core,2019-06-04 21:56:03.576125+02
80,f,routers_s,145,Update Multiple - Circle,3,f,61.705,20.568,3,f,25.766,8.589,3,f,36.055,12.018,2.395,1.711,1.399,Spatial Core,2019-06-04 20:44:32.086326+02
221,t,routers_s,145,Update Multiple - Circle,3,f,60.705,20.235,3,f,26.597,8.866,3,f,37.235,12.412,2.282,1.630,1.400,Spatial Core,2019-06-04 21:57:58.324141+02
78,f,routers_s,145,Update Multiple - Rectangle,16,f,59.830,3.739,16,f,26.371,1.648,16,f,36.894,2.306,2.269,1.622,1.399,Spatial Core,2019-06-04 20:43:46.915804+02
219,t,routers_s,145,Update Multiple - Rectangle,16,f,59.088,3.693,16,f,25.849,1.616,16,f,54.841,3.428,2.286,1.077,2.122,Spatial Core,2019-06-04 21:57:12.127306+02
